FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.000507bf-e776-3119-ad47-3ab9e66ce5b8,-48.99,-16.832,2019-09-20T16:40:00,AQUA_M-T,BELA VISTA DE GOIÁS,GOIÁS,Brasil,POINT (-16.832 -48.99)
focos_ams_hoje_ref.000d0254-7c30-3d63-a87c-5b36a8312ff2,-49.974,-5.707,2019-09-20T16:45:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,POINT (-5.707 -49.974)
focos_ams_hoje_ref.002fc797-0933-3562-9fa8-e0e026adb30c,-43.006,-7.325,2019-09-20T16:45:00,AQUA_M-T,FLORIANO,PIAUÍ,Brasil,POINT (-7.325 -43.006)
focos_ams_hoje_ref.0033f5e5-bdef-38e8-acb6-0738e195f884,-50.722,-17.946,2019-09-20T16:40:00,AQUA_M-T,RIO VERDE,GOIÁS,Brasil,POINT (-17.946 -50.722)
focos_ams_hoje_ref.0068445d-2aeb-3e31-a7b6-efdde0e3e061,-49.287,-5.936,2019-09-20T16:45:00,AQUA_M-T,ELDORADO DO CARAJÁS,PARÁ,Brasil,POINT (-5.936 -49.287)
focos_ams_hoje_ref.0069c15b-2eae-3e16-aa61-457334ab7523,-41.178,-18.918,2019-09-20T16:40:00,AQUA_M-T,CONSELHEIRO PENA,MINAS GERAIS,Brasil,POINT (-18.918 -41.178)
focos_ams_hoje_ref.008219de-ad8f-3c1d-88a1-67f966c74ebc,-56.299,-28.664,2019-09-20T18:15:00,AQUA_M-T,Santo Tomé,Corrientes,Argentina,POINT (-28.664 -56.299)
focos_ams_hoje_ref.00866274-7573-3ebd-afe9-9cad18545a65,-50.194,-17.758,2019-09-20T16:40:00,AQUA_M-T,EDÉIA,GOIÁS,Brasil,POINT (-17.758 -50.194)
focos_ams_hoje_ref.008f43cb-3b16-3337-8eca-cef1fec6b1d5,-43.714,-8.506,2019-09-20T16:45:00,AQUA_M-T,ALVORADA DO GURGUÉIA,PIAUÍ,Brasil,POINT (-8.506 -43.714)
focos_ams_hoje_ref.00e267d9-d3ce-37c8-b58c-7e21373b93a2,-60.382,-17.509,2019-09-20T18:20:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.509 -60.382)
