FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.00029893-5544-34ab-8224-8849c82c99ed,-68.246,-10.562,2019-09-19T17:40:00,AQUA_M-T,XAPURI,ACRE,Brasil,POINT (-10.562 -68.246)
focos_ams_ontem_hoje_ref.000507bf-e776-3119-ad47-3ab9e66ce5b8,-48.99,-16.832,2019-09-20T16:40:00,AQUA_M-T,BELA VISTA DE GOIÁS,GOIÁS,Brasil,POINT (-16.832 -48.99)
focos_ams_ontem_hoje_ref.000d0254-7c30-3d63-a87c-5b36a8312ff2,-49.974,-5.707,2019-09-20T16:45:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,POINT (-5.707 -49.974)
focos_ams_ontem_hoje_ref.002bcfd5-23fe-35b1-9dfb-6b84bd0e113b,-59.734,-7.401,2019-09-19T17:40:00,AQUA_M-T,APUÍ,AMAZONAS,Brasil,POINT (-7.401 -59.734)
focos_ams_ontem_hoje_ref.002fc797-0933-3562-9fa8-e0e026adb30c,-43.006,-7.325,2019-09-20T16:45:00,AQUA_M-T,FLORIANO,PIAUÍ,Brasil,POINT (-7.325 -43.006)
focos_ams_ontem_hoje_ref.0033f5e5-bdef-38e8-acb6-0738e195f884,-50.722,-17.946,2019-09-20T16:40:00,AQUA_M-T,RIO VERDE,GOIÁS,Brasil,POINT (-17.946 -50.722)
focos_ams_ontem_hoje_ref.005b0000-2bda-3dc7-a348-05eeedbc02c2,-66.986,-14.994,2019-09-19T17:40:00,AQUA_M-T,José Ballivián,El Beni,Bolivia,POINT (-14.994 -66.986)
focos_ams_ontem_hoje_ref.0068445d-2aeb-3e31-a7b6-efdde0e3e061,-49.287,-5.936,2019-09-20T16:45:00,AQUA_M-T,ELDORADO DO CARAJÁS,PARÁ,Brasil,POINT (-5.936 -49.287)
focos_ams_ontem_hoje_ref.0069c15b-2eae-3e16-aa61-457334ab7523,-41.178,-18.918,2019-09-20T16:40:00,AQUA_M-T,CONSELHEIRO PENA,MINAS GERAIS,Brasil,POINT (-18.918 -41.178)
focos_ams_ontem_hoje_ref.0072ea65-93f9-3959-909b-5ca55fa090c8,-60.612,-7.371,2019-09-19T17:40:00,AQUA_M-T,APUÍ,AMAZONAS,Brasil,POINT (-7.371 -60.612)
focos_ams_ontem_hoje_ref.0074f2cc-ba36-39b0-9003-832e011d5776,-56.219,-20.003,2019-09-19T17:35:00,AQUA_M-T,AQUIDAUANA,MATO GROSSO DO SUL,Brasil,POINT (-20.003 -56.219)
focos_ams_ontem_hoje_ref.008219de-ad8f-3c1d-88a1-67f966c74ebc,-56.299,-28.664,2019-09-20T18:15:00,AQUA_M-T,Santo Tomé,Corrientes,Argentina,POINT (-28.664 -56.299)
focos_ams_ontem_hoje_ref.00829be7-84c6-3189-abb7-2edd19354049,-69.971,-7.967,2019-09-19T17:40:00,AQUA_M-T,FEIJÓ,ACRE,Brasil,POINT (-7.967 -69.971)
focos_ams_ontem_hoje_ref.00866274-7573-3ebd-afe9-9cad18545a65,-50.194,-17.758,2019-09-20T16:40:00,AQUA_M-T,EDÉIA,GOIÁS,Brasil,POINT (-17.758 -50.194)
focos_ams_ontem_hoje_ref.008f43cb-3b16-3337-8eca-cef1fec6b1d5,-43.714,-8.506,2019-09-20T16:45:00,AQUA_M-T,ALVORADA DO GURGUÉIA,PIAUÍ,Brasil,POINT (-8.506 -43.714)
focos_ams_ontem_hoje_ref.00ba5088-bc81-3d26-87af-1f73253136bc,-60.105,-5.246,2019-09-19T17:40:00,AQUA_M-T,NOVO ARIPUANÃ,AMAZONAS,Brasil,POINT (-5.246 -60.105)
focos_ams_ontem_hoje_ref.00e267d9-d3ce-37c8-b58c-7e21373b93a2,-60.382,-17.509,2019-09-20T18:20:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-17.509 -60.382)
focos_ams_ontem_hoje_ref.00e9b4dc-3e15-3ee5-ba2c-a329a587a5c0,-62.819,-27.735,2019-09-19T17:35:00,AQUA_M-T,Moreno,Santiago del Estero,Argentina,POINT (-27.735 -62.819)
focos_ams_ontem_hoje_ref.00ec9d4e-c9d8-373f-8148-6629c3c60029,-59.594,-16.42,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.42 -59.594)
focos_ams_ontem_hoje_ref.00eeeee1-99c1-33c1-ac69-1f9f1760f38a,-44.452,-8.176,2019-09-20T16:45:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-8.176 -44.452)
focos_ams_ontem_hoje_ref.00f42cee-c11f-3a2a-9177-ecf164ff80c5,-58.892,-19.712,2019-09-19T17:35:00,AQUA_M-T,Fuerte Olimpo,Alto Paraguay,Paraguay,POINT (-19.712 -58.892)
focos_ams_ontem_hoje_ref.00f5f1bd-3a4e-31af-9372-bfb7dc749f72,-54.335,-12.002,2019-09-20T16:45:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.002 -54.335)
focos_ams_ontem_hoje_ref.00ff7d7a-2e90-31d3-8962-c32d6d721092,-46.396,-9.396,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-9.396 -46.396)
focos_ams_ontem_hoje_ref.0104b52c-9283-39a3-bd46-589bb4e00ec2,-63.228,-16.504,2019-09-19T17:40:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.504 -63.228)
focos_ams_ontem_hoje_ref.010b4500-1e2d-343b-acb5-74d41defd017,-48.067,-20.076,2019-09-20T16:40:00,AQUA_M-T,ÁGUA COMPRIDA,MINAS GERAIS,Brasil,POINT (-20.076 -48.067)
focos_ams_ontem_hoje_ref.010c1d95-a88b-33f7-b046-12ffe55c638f,-45.884,-10.086,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-10.086 -45.884)
focos_ams_ontem_hoje_ref.0110802f-a628-3bd1-a19c-d0c073451253,-46.604,-18.775,2019-09-20T16:40:00,AQUA_M-T,PATOS DE MINAS,MINAS GERAIS,Brasil,POINT (-18.775 -46.604)
focos_ams_ontem_hoje_ref.011aadd1-f03e-3280-b0aa-b24560b0c8be,-50.37,-3.119,2019-09-20T16:45:00,AQUA_M-T,PORTEL,PARÁ,Brasil,POINT (-3.119 -50.37)
focos_ams_ontem_hoje_ref.011bbea6-f11c-34a3-9c35-f83f9f91ba46,-64.688,-9.733,2019-09-19T17:40:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.733 -64.688)
focos_ams_ontem_hoje_ref.011eb568-de5e-35e1-b68f-5b4f7a99c93d,-59.954,-21.081,2019-09-19T17:35:00,AQUA_M-T,General Eugenio A. Garay,Boquerón,Paraguay,POINT (-21.081 -59.954)
focos_ams_ontem_hoje_ref.0132882b-0174-3f2c-8fd0-b9b0ef7dfd76,-46.069,-9.358,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-9.358 -46.069)
