DOY,2012,2013,2014,2015,2016,2017,2018,2019
1,,196,930,529,273,83,444,255
2,,433,1948,1437,779,228,1091,613
3,,774,2943,2934,1436,422,1660,1761
4,,1183,3650,4115,2601,708,2210,3615
5,,1547,4572,4614,4007,1187,2919,4498
6,,2126,5094,5731,4740,1684,3202,4615
7,,2925,5270,6962,5341,2156,3402,4705
8,,3699,5586,8021,5914,2392,3617,4860
9,,4437,5892,8826,7986,2622,3881,5225
10,,4785,6084,9326,9941,3032,4228,5342
11,,4960,6306,9607,11080,3520,4711,5425
12,,5416,6398,9872,12603,3878,5138,5536
13,,5777,6502,10410,13610,4186,5434,6099
14,,6023,6763,10636,14676,4281,5787,6345
15,,6289,6895,11092,15915,4406,6162,6523
16,,6521,7169,11341,16990,4578,6690,6878
17,,6697,7564,11680,18008,4732,7256,7249
18,,6887,7736,12031,19851,4735,7616,7633
19,,6995,8082,12121,20735,4783,8019,7872
20,149,7138,8310,12340,21334,4904,8466,7992
21,314,7383,8697,12553,22888,5082,8830,8105
22,398,7909,9364,12824,24752,5135,9163,8356
23,435,8062,9866,13096,27069,5152,9390,8775
24,549,8252,10329,13302,29926,5253,9667,9234
25,715,8349,10697,13434,32994,5372,9802,9664
26,807,8651,10880,13573,34682,5472,9891,9932
27,983,8956,11022,13908,35638,5616,10028,10282
28,1179,9089,11235,14542,37534,5721,10214,10550
29,1257,9225,11399,15263,38657,5752,10383,10729
30,1426,9418,11669,16048,41387,5819,10860,10996
31,1554,9591,11820,16520,42609,5869,11408,11279
32,1767,9776,11886,16742,43091,5981,11940,11455
33,1928,9808,11937,17114,43258,6042,12106,11594
34,2188,9886,12102,17494,43384,6149,12460,11778
35,2288,9991,12117,17748,43772,6345,12874,12037
36,2533,10013,12350,18079,44002,6426,13416,12338
37,2764,10050,12468,18571,44328,6490,13767,12570
38,3141,10075,12524,19207,44849,6536,14280,12832
39,3351,10151,12586,19912,45582,6607,14882,13121
40,3472,10249,12690,20051,46812,6678,15405,13331
41,3637,10323,12760,20354,47780,6746,15515,13519
42,3754,10347,12825,20560,48506,6834,15670,13739
43,3956,10376,12885,20987,48997,7027,15710,13936
44,4051,10480,12962,21411,49538,7226,15774,14024
45,4126,10578,13146,21797,50226,7374,15812,14162
46,4139,10671,13362,22093,50777,7591,15996,14298
47,4169,10799,13464,22368,51371,7648,16144,14427
48,4194,10919,13554,22536,52269,7692,16167,14840
49,4237,11030,13902,22706,53630,7937,16261,15184
